product_number,product_id,product_slug,product_name,image_file,image_web_path,mapping_type,status,notes
1,cg-01,cork-diary-as-fab-india-combo-30,Cork Diary — As Fab India Combo 30,01_cork_diary_as_fab_india_combo_30.jpg,/images/vinsho/products/Corporate-gifting/01_cork_diary_as_fab_india_combo_30.jpg,combo,mapped,combo page
2,cg-02,cork-metal-pen-combo-30,Cork Metal Pen — Combo 30,02_cork_metal_pen_combo_30.jpg,/images/vinsho/products/Corporate-gifting/02_cork_metal_pen_combo_30.jpg,combo,mapped,combo page
3,cg-03,ecodesk-diary-combo-10,Ecodesk Diary — Combo 10,03_ecodesk_diary_as_combo_10.jpg,/images/vinsho/products/Corporate-gifting/03_ecodesk_diary_as_combo_10.jpg,combo,mapped,combo page
4,cg-04,cork-card-stacker-combo-10,Cork Card Stacker — Combo 10,04_card_stacker_combo_10.jpg,/images/vinsho/products/Corporate-gifting/04_card_stacker_combo_10.jpg,combo,mapped,combo page
5,cg-05,key-chain-combo-10,Key Chain — Combo 10,05_key_chain_combo_10.jpg,/images/vinsho/products/Corporate-gifting/05_key_chain_combo_10.jpg,combo,mapped,combo page
6,cg-06,cork-metal-pen-combo-10,Cork Metal Pen — Combo 10,06_cork_metal_pen_combo_10.jpg,/images/vinsho/products/Corporate-gifting/06_cork_metal_pen_combo_10.jpg,combo,mapped,combo page
7,cg-07,cork-canvas-sleeve-combo-10,Cork Canvas Sleeve — Combo 10,07_cork_canvas_sleeve_combo_10.jpg,/images/vinsho/products/Corporate-gifting/07_cork_canvas_sleeve_combo_10.jpg,combo,mapped,combo page
8,cg-08,ocean-mist-bag-combo-18,Ocean Mist Bag — Combo 18,08_ocean_mist_bag_combo_18.jpg,/images/vinsho/products/Corporate-gifting/08_ocean_mist_bag_combo_18.jpg,combo,mapped,combo page
9,cg-09,passport-holder-ocean-mist-combo-18,Passport Holder — Ocean Mist Combo 18,09_passport_holder_ocean_mist_combo_18.jpg,/images/vinsho/products/Corporate-gifting/09_passport_holder_ocean_mist_combo_18.jpg,combo,mapped,combo page
10,cg-10,cork-bottle-ocean-mist-combo-18,Cork Bottle — Ocean Mist Combo 18,10_cork_bottle_ocean_mist_combo_18.jpg,/images/vinsho/products/Corporate-gifting/10_cork_bottle_ocean_mist_combo_18.jpg,combo,mapped,combo page
11,cg-11,jet-case-brown-bag-combo-19,Jet Case — Brown Bag Combo 19,11_jet_case_brown_bag_combo_19.jpg,/images/vinsho/products/Corporate-gifting/11_jet_case_brown_bag_combo_19.jpg,combo,mapped,combo page
