product_name,product_slug,image_order,image_filename,role
Cork Tablemat ChocoChip,cork-tablemat-chocochip,1,cork-tablemat-chocochip/01.jpg,primary
Cork Tablemat Abstract,cork-tablemat-abstract,1,cork-tablemat-abstract/01.jpg,primary
Cork Tablemat Abstract,cork-tablemat-abstract,2,cork-tablemat-abstract/02.jpg,gallery
Cork Tablemat Oval Red Assiago,cork-tablemat-oval-red-assiago,1,cork-tablemat-oval-red-assiago/01.jpg,primary
Cork Tablemat Oval Red Assiago,cork-tablemat-oval-red-assiago,2,cork-tablemat-oval-red-assiago/02.jpg,gallery
Cork Tablemat Red Assiago,cork-tablemat-red-assiago,1,cork-tablemat-red-assiago/01.jpg,primary
Smoky Black Small Round Tray,smoky-black-small-round-tray,1,smoky-black-small-round-tray/01.jpg,primary
Box Print Table Top T.T. Planter,box-print-table-top-t-t-planter,1,box-print-table-top-t-t-planter/01.jpg,primary
Box Print Table Top T.T. Planter,box-print-table-top-t-t-planter,2,box-print-table-top-t-t-planter/02.jpg,gallery
Box Print Table Top T.T. Planter,box-print-table-top-t-t-planter,3,box-print-table-top-t-t-planter/03.jpg,gallery
Box Print Table Top Test Tube Planter Combo-46,box-print-table-top-test-tube-planter-combo-46,1,box-print-table-top-test-tube-planter-combo-46/01.jpg,primary
CharoChip Square Planter,charochip-square-planter,1,charochip-square-planter/01.jpg,primary
Cork Belly Planter,cork-belly-planter,1,cork-belly-planter/01.jpg,primary
Cork Belly Planter,cork-belly-planter,2,cork-belly-planter/02.jpg,gallery
Cork Conical Flask Planter,cork-conical-flask-planter,1,cork-conical-flask-planter/01.jpg,primary
Cork Conical Flask Planter,cork-conical-flask-planter,2,cork-conical-flask-planter/02.jpg,gallery
Diamond Square Planter,diamond-square-planter,1,diamond-square-planter/01.jpg,primary
Diamond Square Planter,diamond-square-planter,2,diamond-square-planter/02.jpg,gallery
Feather Printed Tabletop T.T. Planter,feather-printed-tabletop-t-t-planter,1,feather-printed-tabletop-t-t-planter/01.jpg,primary
Multi Printed Tabletop T.T. Planter,multi-printed-tabletop-t-t-planter,1,multi-printed-tabletop-t-t-planter/01.jpg,primary
Natural Bark Planter,natural-bark-planter,1,natural-bark-planter/01.jpg,primary
Round Linear Planter,round-linear-planter,1,round-linear-planter/01.jpg,primary
Rectangular Test Tube Planter,rectangular-test-tube-planter,1,rectangular-test-tube-planter/01.jpg,primary
Rectangular Test Tube Planter,rectangular-test-tube-planter,2,rectangular-test-tube-planter/02.jpg,gallery
Round Fine Grain Planter,round-fine-grain-planter,1,round-fine-grain-planter/01.jpg,primary
Wall Frame Test Tube Planter,wall-frame-test-tube-planter,1,wall-frame-test-tube-planter/01.jpg,primary
Wall Frame Test Tube Planter,wall-frame-test-tube-planter,2,wall-frame-test-tube-planter/02.jpg,gallery
Ecodesk Diary A5 Combo 10,ecodesk-diary-a5-combo-10,1,ecodesk-diary-a5-combo-10/01.jpg,primary
Cork Tea Light Holder Assorted C-46,cork-tea-light-holder-assorted-c-46,1,cork-tea-light-holder-assorted-c-46/01.jpg,primary
Cork Tea Light Holder Assorted C-46,cork-tea-light-holder-assorted-c-46,2,cork-tea-light-holder-assorted-c-46/02.jpg,gallery
Natural Tray 9x9 Inch Combo-46,natural-tray-9x9-inch-combo-46,1,natural-tray-9x9-inch-combo-46/01.jpg,primary
Natural Tray 9x9 Inch Combo-46,natural-tray-9x9-inch-combo-46,2,natural-tray-9x9-inch-combo-46/02.jpg,gallery
Mouse Pad Super Fine Grain C-36,mouse-pad-super-fine-grain-c-36,1,mouse-pad-super-fine-grain-c-36/01.jpg,primary
Mouse Pad Super Fine Grain C-36,mouse-pad-super-fine-grain-c-36,2,mouse-pad-super-fine-grain-c-36/02.jpg,gallery
Small Calendar Combo-36,small-calendar-combo-36,1,small-calendar-combo-36/01.jpg,primary
Passport Holder Granoco Combo-19,passport-holder-granoco-combo-19,1,passport-holder-granoco-combo-19/01.jpg,primary
Cork Bottle Granoco Combo-19,cork-bottle-granoco-combo-19,1,cork-bottle-granoco-combo-19/01.jpg,primary
Jet Case Brown Bag Combo-19,jet-case-brown-bag-combo-19,1,jet-case-brown-bag-combo-19/01.jpg,primary
Jet Case Brown Bag Combo-19,jet-case-brown-bag-combo-19,2,jet-case-brown-bag-combo-19/02.jpg,gallery
Cork Bottle Ocean Mist Combo-18,cork-bottle-ocean-mist-combo-18,1,cork-bottle-ocean-mist-combo-18/01.jpg,primary
Cork Canvas Sleeve Combo 10,cork-canvas-sleeve-combo-10,1,cork-canvas-sleeve-combo-10/01.jpg,primary
Cork Canvas Sleeve Combo 10,cork-canvas-sleeve-combo-10,2,cork-canvas-sleeve-combo-10/02.jpg,gallery
